record_id;rater_id;report_num;model;accuracy;recommendation;total;best_model
1;1;1;Gemini;5.0;2.0;7.0;EchoGPT
1;1;2;EchoGPT;5.0;3.0;8.0;EchoGPT
1;1;3;ChatGPT;4.0;3.0;7.0;EchoGPT
1;2;1;Gemini;3.0;2.0;5.0;EchoGPT
1;2;2;EchoGPT;5.0;3.0;8.0;EchoGPT
1;2;3;ChatGPT;3.0;2.0;5.0;EchoGPT
2;1;1;EchoGPT;4.0;2.0;6.0;ChatGPT
2;1;2;Gemini;4.0;3.0;7.0;ChatGPT
2;1;3;ChatGPT;4.0;3.0;7.0;ChatGPT
2;2;1;EchoGPT;3.0;2.0;5.0;ChatGPT
2;2;2;Gemini;4.0;3.0;7.0;ChatGPT
2;2;3;ChatGPT;4.0;3.0;7.0;ChatGPT
3;1;1;Gemini;5.0;3.0;8.0;Gemini
3;1;2;EchoGPT;5.0;3.0;8.0;Gemini
3;1;3;ChatGPT;5.0;3.0;8.0;Gemini
3;2;1;Gemini;5.0;3.0;8.0;ChatGPT
3;2;2;EchoGPT;5.0;1.0;6.0;ChatGPT
3;2;3;ChatGPT;5.0;3.0;8.0;ChatGPT
4;1;1;EchoGPT;4.0;2.0;6.0;ChatGPT
4;1;2;ChatGPT;5.0;3.0;8.0;ChatGPT
4;1;3;Gemini;5.0;3.0;8.0;ChatGPT
4;2;1;EchoGPT;4.0;3.0;7.0;ChatGPT
4;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
4;2;3;Gemini;5.0;3.0;8.0;ChatGPT
5;1;1;Gemini;4.0;3.0;7.0;EchoGPT
5;1;2;ChatGPT;4.0;2.0;6.0;EchoGPT
5;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
5;2;1;Gemini;5.0;3.0;8.0;EchoGPT
5;2;2;ChatGPT;5.0;2.0;7.0;EchoGPT
5;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
6;1;1;EchoGPT;4.0;2.0;6.0;Gemini
6;1;2;ChatGPT;5.0;3.0;8.0;Gemini
6;1;3;Gemini;5.0;3.0;8.0;Gemini
6;2;1;EchoGPT;5.0;3.0;8.0;EchoGPT
6;2;2;ChatGPT;5.0;3.0;8.0;EchoGPT
6;2;3;Gemini;5.0;3.0;8.0;EchoGPT
7;1;1;Gemini;4.0;3.0;7.0;EchoGPT
7;1;2;EchoGPT;5.0;3.0;8.0;EchoGPT
7;1;3;ChatGPT;5.0;3.0;8.0;EchoGPT
7;2;1;Gemini;5.0;3.0;8.0;EchoGPT
7;2;2;EchoGPT;5.0;3.0;8.0;EchoGPT
7;2;3;ChatGPT;5.0;3.0;8.0;EchoGPT
8;1;1;EchoGPT;5.0;2.0;7.0;ChatGPT
8;1;2;ChatGPT;5.0;3.0;8.0;ChatGPT
8;1;3;Gemini;5.0;2.0;7.0;ChatGPT
8;2;1;EchoGPT;5.0;3.0;8.0;ChatGPT
8;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
8;2;3;Gemini;5.0;3.0;8.0;ChatGPT
9;1;1;ChatGPT;4.0;3.0;7.0;EchoGPT
9;1;2;Gemini;5.0;3.0;8.0;EchoGPT
9;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
9;2;1;ChatGPT;5.0;3.0;8.0;Gemini
9;2;2;Gemini;5.0;3.0;8.0;Gemini
9;2;3;EchoGPT;4.0;3.0;7.0;Gemini
10;1;1;Gemini;5.0;3.0;8.0;Gemini
10;1;2;EchoGPT;5.0;2.0;7.0;Gemini
10;1;3;ChatGPT;4.0;2.0;6.0;Gemini
10;2;1;Gemini;4.0;3.0;7.0;EchoGPT
10;2;2;EchoGPT;5.0;3.0;8.0;EchoGPT
10;2;3;ChatGPT;5.0;2.0;7.0;EchoGPT
11;1;1;EchoGPT;5.0;3.0;8.0;EchoGPT
11;1;2;ChatGPT;4.0;3.0;7.0;EchoGPT
11;1;3;Gemini;4.0;3.0;7.0;EchoGPT
11;2;1;EchoGPT;4.0;3.0;7.0;Gemini
11;2;2;ChatGPT;4.0;3.0;7.0;Gemini
11;2;3;Gemini;4.0;3.0;7.0;Gemini
12;1;1;ChatGPT;5.0;3.0;8.0;EchoGPT
12;1;2;Gemini;4.0;2.0;6.0;EchoGPT
12;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
12;2;1;ChatGPT;5.0;3.0;8.0;EchoGPT
12;2;2;Gemini;5.0;3.0;8.0;EchoGPT
12;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
13;1;1;Gemini;5.0;3.0;8.0;EchoGPT
13;1;2;ChatGPT;5.0;2.0;7.0;EchoGPT
13;1;3;EchoGPT;4.0;3.0;7.0;EchoGPT
13;2;1;Gemini;5.0;3.0;8.0;EchoGPT
13;2;2;ChatGPT;5.0;3.0;8.0;EchoGPT
13;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
14;1;1;EchoGPT;4.0;2.0;6.0;Gemini
14;1;2;ChatGPT;5.0;2.0;7.0;Gemini
14;1;3;Gemini;5.0;3.0;8.0;Gemini
14;2;1;EchoGPT;4.0;2.0;6.0;ChatGPT
14;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
14;2;3;Gemini;4.0;2.0;6.0;ChatGPT
15;1;1;EchoGPT;4.0;2.0;6.0;Gemini
15;1;2;ChatGPT;5.0;3.0;8.0;Gemini
15;1;3;Gemini;5.0;3.0;8.0;Gemini
15;2;1;EchoGPT;3.0;2.0;5.0;ChatGPT
15;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
15;2;3;Gemini;5.0;3.0;8.0;ChatGPT
16;1;1;ChatGPT;4.0;3.0;7.0;Gemini
